0,1,2,3,4,5,6,7,8,9,10,11,12,label
-282.59543,70.85797,16.672901,35.346878,16.571043,20.8466,11.378196,25.11376,10.28774,9.5470085,8.152708,16.608818,9.073538,0
-332.93985,75.60878,21.606972,40.150246,18.078766,20.442682,13.9144745,23.637566,10.762634,12.1958685,8.042683,12.889097,4.9754205,0
-503.95786,43.574345,-5.7218733,10.301797,-1.8015155,-1.1955858,-3.6132817,2.9679234,4.405308,6.3580337,0.3643771,-0.017758364,-2.6269975,0
-150.92851,95.86427,-80.30145,31.684135,0.8449332,-13.904812,-58.111908,-10.561872,-12.805931,2.4145286,4.7467446,-9.881316,-3.0852563,0
-382.11414,91.169464,-8.694989,-5.628032,-16.64097,-8.294191,10.979295,8.223552,8.980571,9.191545,-1.3172691,0.2954853,0.0021181775,0
-337.9839,67.42659,-6.190226,-10.928126,-20.18201,-15.262857,7.2228756,14.540754,12.6276245,10.541213,2.948033,-1.350889,-4.475906,0
-132.82768,172.84435,-41.363785,42.416904,-25.149557,9.362542,-20.270958,-9.297595,-15.794234,-8.0635195,-8.764835,1.6680698,-6.8080497,0
-121.419235,174.32004,-29.45753,34.497955,-18.62383,3.4884834,-13.774165,-7.4298944,-12.073245,-6.11947,-11.321556,1.241781,-9.50442,0
-172.96461,112.57404,-23.415726,24.182083,-1.6665115,21.174248,4.694337,14.802091,-0.59523135,10.373865,8.387444,9.251913,2.3034306,0
-192.15407,144.24191,-17.299093,21.679817,2.2772684,26.849447,3.6254036,12.880592,9.710292,8.868052,9.10844,10.545757,2.628111,0
-288.66373,128.35443,-17.976002,19.508911,-2.4176748,22.02007,-1.9617279,-5.710389,-0.11663641,9.87233,-8.986634,-4.7736473,-12.008224,0
-675.03174,27.138248,12.279423,5.908219,3.388014,0.9607632,3.8749185,3.6231782,1.7222173,4.9334373,5.2658105,6.46917,1.5911907,0
-257.04166,91.042915,-7.29655,1.0464244,-18.56488,11.181716,-9.317428,4.9595323,8.937105,2.8853598,-4.1020603,-4.069395,-1.5550047,0
-135.34459,89.19077,-92.21914,37.527237,-20.128035,23.61255,-8.63745,5.2142816,2.0932958,-9.528347,5.378465,4.3772564,2.274782,0
-122.48867,73.83116,-73.39736,23.21658,-10.557144,6.007667,0.5992902,-2.01306,2.17505,-5.107684,2.731691,9.468912,5.822086,0
-180.90442,114.54999,-78.63357,29.026016,-2.511267,38.10019,-13.437882,-4.8856907,5.9148827,-7.980174,4.9537354,8.230251,6.978401,0
-160.03598,40.408123,-11.58555,9.591034,0.7167797,7.392191,5.697261,11.353256,6.7000065,10.265502,2.1272998,9.273474,1.6105388,0
-461.16998,23.121058,3.3170419,2.5422487,-0.27301002,-0.02171593,1.5598733,-1.7486422,-2.33278,0.8531113,-0.4391153,3.7951753,5.179156,0
-540.05194,12.635512,-10.065556,4.717163,-3.6409209,-0.6694244,1.0618851,-4.176411,0.7160683,2.1315498,-1.6997141,0.063990876,-1.1031914,0
-826.2469,13.532597,-0.037438896,2.9028692,-4.055892,-2.0191708,1.650849,0.14046122,0.9728102,1.7986987,-0.5818346,-0.7072902,-0.2977023,0
